seq_ID,index,MACS_ct,FACS1_ct,FACS2_ct,MACS_hasread,FACS1_hasread,FACS2_hasread,MACS_normct,MACS_logct,FACS1_normct,FACS1_logct,FACS2_normct,FACS2_logct,FACS1_MACS_logratio,FACS2_MACS_logratio,FACS2_FACS1_logratio,FACS1_MACS_enriched,FACS1_MACS_split,FACS2_MACS_enriched,FACS2_MACS_split,FACS2_FACS1_enriched,FACS2_FACS1_split
V2/fil5_filabund1_93,93,377,40,55,True,True,True,408.8311874214464,2.611544018262684,72.12600412921374,1.8580918723993656,127.80532692602628,2.1065489555936305,-0.7534521458633185,-0.5049950626690536,0.24845708319426496,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_94,94,373,18,29,True,True,True,404.4934559899191,2.606911499865579,32.45670185814618,1.5113043861747093,67.3882632882684,1.828584263998343,-1.0956071136908696,-0.778327235867236,0.31727987782363365,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_95,95,372,46,37,True,True,True,403.4090231320373,2.605745607938789,82.9449047485958,1.9187897127529774,85.97812902296313,1.9343879901663819,-0.6869558951858115,-0.671357617772407,0.015598277413404471,0.0,train,0.0,test,1.0,test
V2/fil5_filabund1_96,96,371,54,24,True,True,True,402.32459027415547,2.604576577671937,97.37010557443854,1.9884256408943717,55.76959720408419,1.7463975078109928,-0.6161509367775655,-0.8581790698609444,-0.2420281330833789,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_98,98,370,73,46,True,True,True,401.24015741627363,2.603404392123886,131.62995753581507,2.119354741191859,106.8917279744947,2.0289440977809607,-0.4840496509320271,-0.5744602943429253,-0.09041064341089822,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_97,97,370,26,49,True,True,True,401.24015741627363,2.603404392123886,46.881902683988926,1.6710052290422213,113.86292762500523,2.0563823461279003,-0.9323991630816648,-0.5470220459959858,0.385377117085679,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_99,99,369,20,22,True,True,True,400.15572455839185,2.6022290342159518,36.06300206460687,1.5570618767353845,51.12213077041051,1.708608946921593,-1.0451671574805672,-0.8936200872943587,0.1515470701862085,0.0,test,0.0,test,1.0,test
V2/fil5_filabund1_100,100,368,69,34,True,True,True,399.07129170051,2.6010504867304087,124.41735712289369,2.0948809718086587,79.0069293724526,1.8976651831416418,-0.50616951492175,-0.7033853035887669,-0.19721578866701694,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_101,101,366,17,45,True,True,True,396.90242598474634,2.598683753451302,30.65355175491584,1.4864808024496772,104.56799475765786,2.0193987798747304,-1.112202951001625,-0.5792849735765717,0.5329179774250532,0.0,test,0.0,test,1.0,test
V2/fil5_filabund1_102,102,365,105,46,True,True,True,395.81799312686456,2.597495532513366,189.33076083918607,2.2772211801413413,106.8917279744947,2.0289440977809607,-0.32027435237202484,-0.5685514347324054,-0.2482770823603806,0.0,test,0.0,test,0.0,test
